1	-77.69720000000021 -77.6972000000004 -77.69720000000004 -77.69720000000021
2	-80.54720000000007 -80.54720000000012 -80.5472 -80.54720000000007
3	-75.52800000000276 -75.52800000000491 -75.52800000000042 -75.52800000000276
4	-78.8777000000001 -78.87770000000022 -78.87770000000002 -78.8777000000001
5	-79.23000000000002 -79.23000000000003 -79.23 -79.23000000000002
6	-79.00080000000004 -79.00080000000007 -79.0008 -79.00080000000004
7	-80.71140000000021 -80.71140000000038 -80.71140000000004 -80.71140000000021
8	-70.08000000000021 -70.08000000000037 -70.08000000000004 -70.08000000000021
9	-47.05450000000115 -47.05450000000209 -47.05450000000017 -47.05450000000115
10	-35.432700000001866 -35.43270000000335 -35.432700000000274 -35.432700000001866
11	-33.374900000000686 -33.374900000001254 -33.374900000000096 -33.374900000000686
12	55.77989997537924 55.779899963238066 55.779899993292425 55.77989997537924
13	-62.10180000000012 -62.101800000000225 -62.101800000000004 -62.10180000000012
14	-50.06800000000033 -50.06800000000061 -50.06800000000003 -50.06800000000033
15	-46.25510000001156 -46.25510000002001 -46.255100000001946 -46.25510000001156
16	-3.901200000072724 -3.9012000001214555 -3.9012000000137683 -3.901200000072724
17	-52.95660000000055 -52.956600000001 -52.95660000000008 -52.95660000000055
18	-16.123800000013073 -16.12380000002257 -16.12380000000222 -16.123800000013073
19	-77.55460000000004 -77.55460000000006 -77.55460000000001 -77.55460000000004
20	-77.29970000000007 -77.29970000000013 -77.2997 -77.29970000000007
21	-72.66250000000011 -72.6625000000002 -72.66250000000002 -72.66250000000011
22	-77.81830000000008 -77.81830000000015 -77.81830000000001 -77.81830000000008
23	-75.75830000000005 -75.7583000000001 -75.7583 -75.75830000000005
24	-77.44000000000004 -77.44000000000005 -77.44000000000001 -77.44000000000004
25	-78.5057 -78.50570000000002 -78.50569999999999 -78.5057
26	-74.80090000000024 -74.80090000000047 -74.80090000000003 -74.80090000000024
27	-74.97720000000034 -74.97720000000062 -74.97720000000005 -74.97720000000034
28	-76.54430000000006 -76.54430000000013 -76.5443 -76.54430000000006
29	-74.24850000000121 -74.2485000000022 -74.24850000000018 -74.24850000000121
30	-77.21440000000004 -77.21440000000007 -77.21440000000001 -77.21440000000004
31	-77.08950000000004 -77.08950000000007 -77.0895 -77.08950000000004
32	-77.25820000000012 -77.25820000000022 -77.2582 -77.25820000000012
33	-73.50230000000049 -73.5023000000009 -73.50230000000006 -73.50230000000049
34	-83.24480000000015 -83.24480000000027 -83.24480000000003 -83.24480000000015
35	-79.53990000000019 -79.53990000000036 -79.53990000000002 -79.53990000000019
36	-78.3557000000006 -78.35570000000111 -78.35570000000007 -78.3557000000006
37	-80.84830000000001 -80.84830000000002 -80.84830000000001 -80.84830000000001
38	-81.82930000000002 -81.82930000000005 -81.8293 -81.82930000000002
39	-73.13910000000025 -73.13910000000047 -73.13910000000003 -73.13910000000025
40	-76.32660000000003 -76.32660000000004 -76.3266 -76.32660000000003
41	-75.46880000000006 -75.46880000000012 -75.4688 -75.46880000000006
42	-74.99540000000002 -74.99540000000003 -74.9954 -74.99540000000002
43	-78.65090000000001 -78.65090000000002 -78.6509 -78.65090000000001
44	-77.40530000000005 -77.40530000000008 -77.40530000000001 -77.40530000000005
45	-79.39730000000004 -79.39730000000009 -79.3973 -79.39730000000004
46	-76.68160000000002 -76.68160000000002 -76.6816 -76.68160000000002
47	-68.69620000000008 -68.69620000000013 -68.69620000000002 -68.69620000000008
48	-80.64660000000003 -80.64660000000006 -80.64659999999999 -80.64660000000003
49	-58.680800000000474 -58.68080000000088 -58.68080000000006 -58.680800000000474
50	-46.84190000000031 -46.84190000000056 -46.84190000000003 -46.84190000000031
51	-79.00630000000005 -79.0063000000001 -79.0063 -79.00630000000005
52	-79.90800000000002 -79.90800000000003 -79.90799999999999 -79.90800000000002
53	-74.4538 -74.45380000000003 -74.4538 -74.4538
54	-77.48740000000001 -77.48740000000002 -77.4874 -77.48740000000001
55	-79.29050000000001 -79.29050000000002 -79.29050000000001 -79.29050000000001
56	-76.23280000000003 -76.23280000000005 -76.23280000000001 -76.23280000000003
57	-76.53930000000003 -76.53930000000003 -76.53930000000001 -76.53930000000003
